"","AgeGroup","Alcohol"
"1","Millenials","Minimal"
"2","Millenials","Minimal"
"3","Millenials","Minimal"
"4","Millenials","Minimal"
"5","Millenials","Moderate"
"6","Millenials","Moderate"
"7","Millenials","Moderate"
"8","Millenials","Moderate"
"9","Millenials","Significant"
"10","Millenials","Significant"
"11","Millenials","Significant"
"12","Millenials","Heavy"
"13","Millenials","Heavy"
"14","Millenials","Heavy"
"15","Millenials","Heavy"
"16","Xennials","Minimal"
"17","Xennials","Minimal"
"18","Xennials","Minimal"
"19","Xennials","Minimal"
"20","Xennials","Moderate"
"21","Xennials","Moderate"
"22","Xennials","Moderate"
"23","Xennials","Moderate"
"24","Xennials","Significant"
"25","Xennials","Significant"
"26","Xennials","Significant"
"27","Xennials","Significant"
"28","Xennials","Heavy"
"29","Xennials","Heavy"
"30","Xennials","Heavy"
"31","GenX","Minimal"
"32","GenX","Minimal"
"33","GenX","Minimal"
"34","GenX","Minimal"
"35","GenX","Moderate"
"36","GenX","Moderate"
"37","GenX","Moderate"
"38","GenX","Moderate"
"39","GenX","Significant"
"40","GenX","Significant"
"41","GenX","Significant"
"42","GenX","Significant"
"43","GenX","Heavy"
"44","GenX","Heavy"
"45","GenX","Heavy"
"46","GenX","Heavy"
"47","Boomers","Minimal"
"48","Boomers","Minimal"
"49","Boomers","Minimal"
"50","Boomers","Minimal"
"51","Boomers","Moderate"
"52","Boomers","Moderate"
"53","Boomers","Moderate"
"54","Boomers","Moderate"
"55","Boomers","Significant"
"56","Boomers","Significant"
"57","Boomers","Significant"
"58","Boomers","Significant"
"59","Boomers","Heavy"
"60","Boomers","Heavy"
"61","Boomers","Heavy"
"62","Boomers","Heavy"
"63","Seniors","Minimal"
"64","Seniors","Minimal"
"65","Seniors","Minimal"
"66","Seniors","Minimal"
"67","Seniors","Moderate"
"68","Seniors","Moderate"
"69","Seniors","Moderate"
"70","Seniors","Significant"
"71","Seniors","Significant"
"72","Seniors","Significant"
"73","Seniors","Significant"
"74","Seniors","Heavy"
"75","Seniors","Heavy"
"76","Seniors","Heavy"
"77","Seniors","Heavy"
"78","Elderly","Minimal"
"79","Elderly","Minimal"
"80","Elderly","Minimal"
"81","Elderly","Moderate"
"82","Elderly","Moderate"
"83","Elderly","Moderate"
"84","Elderly","Moderate"
"85","Elderly","Significant"
"86","Elderly","Significant"
"87","Elderly","Heavy"
"88","Elderly","Heavy"
