"","AgeGroup","Alcohol","Tobacco","Cases","Controls"
"1","Millenials","Minimal","Minimal",0,40
"2","Millenials","Minimal","Moderate",0,10
"3","Millenials","Moderate","Minimal",0,27
"4","Millenials","Moderate","Moderate",0,7
"5","Millenials","Significant","Minimal",0,2
"6","Millenials","Significant","Moderate",0,1
"7","Millenials","Heavy","Minimal",0,1
"8","Millenials","Heavy","Moderate",1,0
"9","Xennials","Minimal","Minimal",0,60
"10","Xennials","Minimal","Moderate",1,13
"11","Xennials","Moderate","Minimal",0,35
"12","Xennials","Moderate","Moderate",3,20
"13","Xennials","Significant","Minimal",0,11
"14","Xennials","Significant","Moderate",0,6
"15","Xennials","Heavy","Minimal",2,1
"16","Xennials","Heavy","Moderate",0,3
"17","GenX","Minimal","Minimal",1,45
"18","GenX","Minimal","Moderate",0,18
"19","GenX","Moderate","Minimal",6,32
"20","GenX","Moderate","Moderate",4,17
"21","GenX","Significant","Minimal",3,13
"22","GenX","Significant","Moderate",6,8
"23","GenX","Heavy","Minimal",4,0
"24","GenX","Heavy","Moderate",3,1
"25","Boomers","Minimal","Minimal",2,47
"26","Boomers","Minimal","Moderate",3,19
"27","Boomers","Moderate","Minimal",9,31
"28","Boomers","Moderate","Moderate",6,15
"29","Boomers","Significant","Minimal",9,9
"30","Boomers","Significant","Moderate",8,7
"31","Boomers","Heavy","Minimal",5,5
"32","Boomers","Heavy","Moderate",6,1
"33","Seniors","Minimal","Minimal",5,43
"34","Seniors","Minimal","Moderate",4,10
"35","Seniors","Moderate","Minimal",17,17
"36","Seniors","Moderate","Moderate",3,7
"37","Seniors","Significant","Minimal",6,7
"38","Seniors","Significant","Moderate",4,8
"39","Seniors","Heavy","Minimal",3,1
"40","Seniors","Heavy","Moderate",1,1
"41","Elderly","Minimal","Minimal",1,17
"42","Elderly","Minimal","Moderate",2,4
"43","Elderly","Moderate","Minimal",2,3
"44","Elderly","Moderate","Moderate",1,2
"45","Elderly","Significant","Minimal",1,0
"46","Elderly","Significant","Moderate",1,0
"47","Elderly","Heavy","Minimal",2,0
"48","Elderly","Heavy","Moderate",1,0
